,R,T,m,s,b,mutations,gradient,survival_mean,survival_var,seed
0,13.412464350511181,4476.197587129338,0.09235682303158717,0.01889780229090735,[1.21735353],80.0,0.5,481.0,502.0,2n
1,14.540685930611492,4817.886113824702,0.10339250658167465,0.008691925488487882,[0.8600335],66.0,1.0,580.0,633.0,3n
2,10.941896116861052,4225.3423128805525,0.1468970760082574,0.010721385463669965,[1.53295053],60.0,1.5,582.0,661.0,8n
3,11.045299678718923,2418.728940066241,0.12149844291085099,0.08666821006569504,[0.83012179],68.0,2.0,463.0,568.0,11
4,11.869265990556189,3071.100179790933,0.11302109831061809,0.01761537188135472,[1.42654383],62.0,2.5,560.0,688.0,12
5,13.940326526868267,1816.520262325041,0.11198761905524654,0.02455137935556146,[0.90586279],57.0,3.0,379.0,502.0,17
6,11.040813616276807,171.75176020795226,0.03816912344628977,0.07539121652952081,[1.00569938],52.0,3.5,10000.0,10000.0,18
7,8.038343172616415,43.59759892788182,0.05436371921762684,0.04666161209733764,[0.99359846],40.0,4.0,17.0,29.0,22
8,17.579264846177942,32.15297582899822,0.06910744403868958,0.03071812132525156,[1.0],32.0,4.5,13.0,23.0,26
9,9.12033427555537,14.68446516500806,0.10074945842171004,0.037443421872545284,[1.06024303],18.0,5.0,6.0,10.0,29
10,15.39182153403348,28.460721683796233,0.086557399654289,0.02602305617648602,[1.0],17.0,5.5,14.0,10000.0,32
11,13.0,15.55201305571312,0.1255706307336658,0.029235555867358067,[1.0],10.0,6.0,8.0,14.0,33
12,15.784275239989304,13.172141992722342,0.0671361371989056,0.016720150756407013,[1.0],9.0,6.5,8.0,10000.0,36
13,12.47804232101166,17.04048301008524,0.11268224261360076,0.022741558236358445,[1.0306229],15.0,7.0,10.0,19.0,40
14,14.902486494015617,11.569222686379952,0.09999848062729112,0.02322872817761371,[1.0],13.0,7.5,9.0,10000.0,43
15,13.0,11.769579716865888,0.13267992712705537,0.02572667085228915,[1.0],9.0,8.0,10.0,10000.0,45
16,14.84768313298811,12.076665670790607,0.12415726776736234,0.020750777449874098,[1.0],7.0,8.5,11.0,10000.0,50
17,13.0,9.564442837011274,0.15,0.02819165336534145,[1.0],6.0,9.0,10000.0,10000.0,52
18,13.0,11.511203958158067,0.09111904694297546,0.017643339487542372,[1.0],6.0,9.5,10000.0,10000.0,55
