,R,T,m,s,b,mutations,gradient,survival_mean,survival_var,organism_count,pop_size,seed,food,hostility
1,12,16,0,0,0,18,0,285,17910,1,100,8,6,0.5
1,7,13,0,0,1,15,0,2028,15888196,1,100,0,3,0.5
1,15,11,0,0,1,10,0,1378,9256422,1,100,12,6,0.7
1,9,12,0,0,1,25,0,1028,8945204,1,100,10,6,0.6
1,13,11,0,0,1,7,0,38,2264,1,100,7,6,0.5
1,13,10,0,0,1,14,0,1865,13876621,1,100,3,3,0.6
1,11,13,0,0,0,18,0,274,24239,1,100,1,3,0.5
1,9,11,0,0,0,25,0,3195,19848733,1,100,4,3,0.7
1,9,10,0,0,1,14,0,2008,15964819,1,100,13,6,0.8
1,11,14,0,0,1,14,0,547,175658,1,100,2,3,0.6
1,11,13,0,0,1,10,0,1906,7757002,1,100,5,3,0.7
1,9,14,0,0,0,15,0,4095,23240947,1,100,9,6,0.6
1,9,8,0,0,1,20,0,2021,15915712,1,100,11,6,0.7
1,9,10,0,0,1,11,0,2011,15955231,1,100,6,3,0.8
