wild,mutant
206.8,99.0
129.0,118.3
244.1,127.5
95.0,205.6
1096.4,1313.7
143.2,14.1
1116.9,234.1
193.3,84.4
317.0,64.4
126.4,35.6
1199.8,42.6
118.0,29.6
258.0,1173.4
315.8,280.6
178.3,37.5
222.5,247.0
186.1,199.2
102.3,40.0
179.5,150.1
322.1,315.8
259.5,277.7
175.2,423.2
350.5,51.9
289.4,66.3
357.6,42.5
197.8,112.4
316.0,256.7
330.6,449.3
464.0,256.2
177.8,126.4
388.2,296.8
368.7,30.8
186.0,151.2
265.0,291.6
208.2,202.7
303.0,58.7
341.2,258.6
298.3,200.5
66.0,1112.6
2133.5,281.9
1190.3,8084.8
6040.0,5044.4
7032.9,8023.6
7031.0,10001.0
8050.7,3109.2
8044.0,153.7
8023.1,245.8
6061.1,7055.8
7012.6,6057.7
10001.0,9018.4
6090.4,9017.7
8008.0,7035.0
7004.5,7004.2
7043.5,10001.0
10001.0,10001.0
10001.0,10001.0
10001.0,10001.0
10001.0,10001.0
10001.0,10001.0
9002.1,9002.0
8003.2,4042.2
9002.1,9002.1
10001.0,10001.0
10001.0,9006.5
10001.0,10001.0
10001.0,10001.0
10001.0,10001.0
10001.0,10001.0
10001.0,9010.0
9002.1,9002.1
9002.2,9002.3
9002.1,9002.2
10001.0,10001.0
9002.1,9002.1
10001.0,10001.0
9002.3,9002.3
9002.3,9002.2
10001.0,10001.0
10001.0,10001.0
